,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,21July unit,21 August unit,21 sep unit,21 oct unit,21 nov unit,21 dec unit,22 jan unit,22 feb unit,22 mar unit,22 april unit,22 may unit,22 june unit,Pre_paid_22_apr_unit,22_may_unit,22_june_unit,22_july_unit,22_aug_unit,22_sep_unit,22_oct_unit,22_nov_unit,22_dec_unit,23_jan_unit,23_feb_unit,23_mar_unit,23_apr_unit,23_may_unit,23_june_unit,23_jul_unit,23_aug_unit,23_sep_unit,23_oct_unit,23_nov_unit,23_dec_unit
22 mar unit,0.9946148282593729,-0.19681812478401062,0.6569402678210062,0.7432960719084675,0.9482797401773443,0.9946148282593729,0.8313988716495656,0.9656736767558493,0.7536224917099533,0.9946148282593729,0.9946148282593729,0.9946148282593729,0.9953017549479956,0.9993683077900767,0.99970208889641,0.9993326007724792,0.9991575539459837,0.9735486222652724,0.9902756690409702,0.9993729794072356,1.0,0.9974344733844588,0.9757059261247807,0.9759533491727683,0.4261565501557709,-0.29588692487822543,-0.2941319658229721,0.07449454332880304,-0.20389946601580927,-0.18740058987117453,-0.25307528702908194,-0.26597974212471576,-0.4257083564431276,-0.4551214156937628,-0.3815622537538861,-0.1307582393797056,-0.17397779669211025,-0.12119985424122467,-0.03994968830047774,0.13292584158192,-0.10794672702882997,-0.10714933883397015,-0.09854955249201452,-0.19932303630555587,-0.39813494177286807
22 april unit,0.9867828762733268,-0.13395528218425515,0.6839373542858328,0.7269045982423671,0.9676603082067716,0.9867828762733268,0.789567401004703,0.9492886003574503,0.7249405257704996,0.9867828762733268,0.9867828762733267,0.9867828762733268,0.9993475222257439,0.9986039968447361,0.9982326644461273,0.9985988710051269,0.9986409654806719,0.9547542981436882,0.9809250474439087,0.9963789935783229,0.9974344733844588,1.0,0.98571120231242,0.9799207699252468,0.48947368713533407,-0.23416773310526257,-0.23356024729696484,0.1424977605183682,-0.14121703337645689,-0.1257068806302365,-0.1892213612244559,-0.1990442540886547,-0.3599039472725511,-0.3903345904288264,-0.31834882814322635,-0.06721725147471926,-0.11183920631926182,-0.054578064530211134,0.031129034232972152,0.20298519351790142,-0.044879066763477866,-0.04883849178079049,-0.035794306754143405,-0.1454572848645395,-0.33817823726155205
22 may unit,0.9671846440733168,-0.09928908571888215,0.62658842039598,0.7741500909166714,0.9902425915783841,0.9671846440733168,0.7189490942706575,0.8854790289481649,0.7414895114425298,0.9671846440733168,0.9671846440733167,0.9671846440733168,0.9833186323860933,0.976162479730953,0.9755757846396351,0.9829700770407536,0.9837706177132362,0.9126842975788715,0.963010173170853,0.9694329343425859,0.9757059261247807,0.98571120231242,1.0,0.9418257713158904,0.5854247408934875,-0.19709123104590281,-0.2022916291480254,0.20017296913168273,-0.10697427947245243,-0.09731688195284548,-0.1449128299379013,-0.1334283524298365,-0.2521534651381214,-0.29606844058210413,-0.17888442011403696,-0.03289278987654712,-0.08213528169694478,-0.0035379094595221713,0.11789447020633463,0.3178136300456804,-0.013898048065809894,-0.03894661176664163,-0.006689574416769528,-0.1483261474927673,-0.29807462879033003
22 june unit,0.9495887342496611,-0.024091747199421056,0.804042848623226,0.5806568972317077,0.9353797312911941,0.9495887342496611,0.7542963620129948,0.959089940798179,0.5944597815774714,0.9495887342496611,0.9495887342496611,0.9495887342496611,0.9855722915096163,0.982591955664503,0.9808176530468175,0.9724377270964496,0.9718765418282652,0.9257069508551033,0.9377286587785075,0.9817194624417455,0.9759533491727683,0.9799207699252468,0.9418257713158904,1.0,0.47863681178740597,-0.1259531780031596,-0.11949599346275401,0.21730781833582494,-0.030816559285501498,-0.009710115114169983,-0.08873280898581473,-0.12244327617695758,-0.3416384780378478,-0.3528910411757962,-0.3560793178804552,0.04164169496031014,0.002622020746937962,0.036207655074556026,0.07521652898433619,0.19420585732262882,0.06675791249741946,0.08287484330396451,0.0774511345478841,-0.0009608002180429278,-0.2338871690651541
Pre_paid_22_apr_unit,0.36432431481667155,0.6576962064198955,0.5805516855206183,0.1945280316093028,0.6866383152649571,0.36432431481667155,-0.14137087004404592,0.22054291041903928,0.03569230243406412,0.36432431481667155,0.36432431481667155,0.36432431481667155,0.5043244879217649,0.44614989402977717,0.4380129001820871,0.4513229111796143,0.45428604788735066,0.21187017035349348,0.34593994630172614,0.41720980966438226,0.4261565501557709,0.48947368713533407,0.5854247408934875,0.47863681178740597,1.0,0.5995209015707602,0.5829755496378433,0.86122725423961,0.6519757691815442,0.6441789233567229,0.6494764391722234,0.6941034350526057,0.6356926443504073,0.6005105397099779,0.6490940687590295,0.6964113295941043,0.6565733243775488,0.748354250108455,0.8634637701491463,0.9530772785860914,0.6993213928093441,0.6298016555828575,0.6988101062289147,0.5259854424899923,0.5331402333292342
22_may_unit,-0.38861346737748936,0.9947542894979046,0.4232076473188007,-0.6681748080710433,-0.0595876097125484,-0.38861346737748936,-0.7334735958264578,-0.3765566143924779,-0.7752053483934117,-0.38861346737748936,-0.3886134673774894,-0.38861346737748936,-0.20318474505463063,-0.2634214804967493,-0.2745394895045198,-0.28521034593230027,-0.2840294784054773,-0.4903263129203575,-0.41794958046593006,-0.2857170934406784,-0.29588692487822543,-0.23416773310526257,-0.19709123104590281,-0.1259531780031596,0.5995209015707602,1.0,0.9993843946613963,0.9167963710056981,0.9954407742208861,0.9928264860980579,0.9978967832344625,0.9835092102423822,0.8785639444374859,0.9153545187175147,0.7173465606983287,0.9857094722732452,0.9915608179157991,0.979057643401697,0.9097637758718621,0.7448511043290826,0.9813933556506577,0.9711609608156606,0.9792982224484433,0.9689969429259911,0.99397584297162
22_june_unit,-0.3879614880259179,0.9945370483153895,0.4378869617244408,-0.6835312565047418,-0.0655636193572365,-0.3879614880259179,-0.7242576399952962,-0.3663809881007882,-0.7847866827857187,-0.3879614880259179,-0.38796148802591796,-0.3879614880259179,-0.20198662343292226,-0.26128537021558657,-0.27243613260524274,-0.284678706953468,-0.28365090879043353,-0.4855886849531285,-0.4178594517297025,-0.28277876903555443,-0.2941319658229721,-0.23356024729696484,-0.2022916291480254,-0.11949599346275401,0.5829755496378433,0.9993843946613963,1.0,0.910915757060395,0.9953241289706515,0.9939249135118353,0.9956924107963797,0.9766756711115254,0.8621429406743917,0.9020877831440173,0.6930003174431802,0.9854492557398605,0.992359924455065,0.9751830046080244,0.8977282258603653,0.7255404739884823,0.9817968281151683,0.9759831380589007,0.9800791313945917,0.9765941512678872,0.9927535860902594
22_july_unit,-0.01764199384662855,0.9478469236119949,0.6189556883508088,-0.32540043247022193,0.3346966170608791,-0.01764199384662855,-0.4767304561757756,-0.06229691704292935,-0.45927470597162456,-0.01764199384662855,-0.01764199384662855,-0.01764199384662855,0.17069179307899532,0.10580287027493472,0.0946559159696432,0.09110513016832146,0.09298864550231382,-0.15007069652151506,-0.04678708165361818,0.07901373154709511,0.07449454332880304,0.1424977605183682,0.20017296913168273,0.21730781833582494,0.86122725423961,0.9167963710056981,0.910915757060395,1.0,0.945326485978269,0.9431774745869477,0.9388600176183729,0.941351618132047,0.8177265038917381,0.8289877425519873,0.707176203014829,0.9643328089807095,0.9485145850098746,0.9785933377764564,0.9780807682585388,0.9104490127465803,0.9655324860518258,0.934046316338363,0.9651997597981071,0.8827686870455601,0.873927359050069
22_aug_unit,-0.29976902205178924,0.999968652674212,0.5027361856197047,-0.6155564890995557,0.03102197983262164,-0.29976902205178924,-0.6669679333240618,-0.28763753125403596,-0.7226287383595531,-0.29976902205178924,-0.2997690220517893,-0.29976902205178924,-0.10951110804877383,-0.170583820006955,-0.18195431308304835,-0.19336201356901989,-0.19221145854620608,-0.4049623908260961,-0.33041895795365933,-0.19321124778252483,-0.20389946601580927,-0.14121703337645689,-0.10697427947245243,-0.030816559285501498,0.6519757691815442,0.9954407742208861,0.9953241289706515,0.945326485978269,1.0,0.999288069062385,0.997077804976792,0.9797755626178484,0.8537770811691279,0.889447659265212,0.6907221732025821,0.997217620521201,0.9992350393190665,0.9903449408315701,0.9251017549078594,0.7711655781155244,0.995232993721964,0.9860480349077954,0.9941192243110135,0.9754861736240403,0.9789908963839615
22_sep_unit,-0.2846593498484009,0.9992680206214277,0.528239136334846,-0.6205469081659251,0.039858872200198264,-0.2846593498484009,-0.647018809396897,-0.2637474678648744,-0.722156554210988,-0.2846593498484009,-0.2846593498484009,-0.2846593498484009,-0.09338345394956218,-0.15364259856582305,-0.1650682976069186,-0.1780276270804101,-0.1770246064835895,-0.38649712588861684,-0.31599548134937017,-0.1755526998284326,-0.18740058987117453,-0.1257068806302365,-0.09731688195284548,-0.009710115114169983,0.6441789233567229,0.9928264860980579,0.9939249135118353,0.9431774745869477,0.999288069062385,1.0,0.9935898737694235,0.9715777518494738,0.8335595090415888,0.8719143370343551,0.6631191004268403,0.9974805663475903,0.9998635341899987,0.9872479827507447,0.915207127155518,0.7565081378720733,0.9964810472490268,0.991550473638787,0.9958727643036956,0.9822286181127166,0.9741830944221799
